type,properties/cp,properties/la_name,properties/road,properties/rcat,properties/easting,properties/northing,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,942592,Croydon,BAVANT ROAD,UU,530532,169263,Point,-0.124633034723764,51.40732233291908
Feature,942594,Ealing,HAVEN GREEN,BU,517796,181057,Point,-0.303732832312395,51.51611046628267
Feature,942595,Ealing,WINDMILL LANE,BU,515057,178940,Point,-0.343879481622788,51.49764715719568
Feature,942596,Ealing,HIGH STREET,BU,517721,180559,Point,-0.304979394376958,51.5116502179431
Feature,942598,Ealing,LITTLE EALING LANE,BU,517546,179022,Point,-0.308011892922537,51.49787250181366
Feature,942600,Ealing,NORTHFIELD AVENUE,BU,516750,179788,Point,-0.319220639707828,51.504921961862635
Feature,942601,Ealing,BOND STREET,BU,517661,180578,Point,-0.305837287737328,51.51183347182547
Feature,942602,Ealing,ARGLE ROAD,BU,515937,182872,Point,-0.329915610195221,51.53280756438935
Feature,942604,Ealing,BEAUMONT ROAD,UU,520425,179320,Point,-0.266454838846022,51.499945297116874
Feature,942606,Ealing,ROSE GARDENS,UU,517945,179282,Point,-0.302179662371674,51.5001262634246
Feature,942608,Ealing,BOYD AVENUE,UU,512932,180281,Point,-0.374050191850206,51.51012825291577
Feature,942610,Ealing,CRANMER AVENUE,UU,516840,179221,Point,-0.318112131235929,51.49980731314231
Feature,942611,Ealing,VYNER ROAD,UU,520914,180748,Point,-0.258924135003725,51.51267511907338
Feature,942612,Ealing,BEDFORD ROAD,UU,520983,179049,Point,-0.258512610211499,51.49739062610326
Feature,942614,Ealing,DEAN'S ROAD,UU,515738,179987,Point,-0.333730094967216,51.50691852546228
